APP.,SF,N Docs,GB,N threads,exec time,Overall,CPU(W/S),RAM(W/S),SD(W/S),NIC(W/S)
1_DocumentDataGen.py,1,5000,4.86,1,21931,6157.77164,718.33,514.58764,4263.784,661.07
1_DocumentDataGen.py,1,5000,3.31926,2,12285,6149.57577,571.31,638.30047,3832.0554,1107.9099
1_DocumentDataGen.py,1,5000,4.4,3,9097,5154.45918,507.2571,513.38598,3024.0403,1109.7758
1_DocumentDataGen.py,1,5000,5.05962,4,6264,4452.11284,369.25204,617.60281,2093.40398,1371.85401
1_DocumentDataGen.py,1,5000,4.39,5,4645,3457.64289,513.94888,462.89488,1143.19433,1337.6048
1_DocumentDataGen.py,3,15000,9.93,1,65243,32617.36215,785.44485,1219.31755,28692.30975,1920.29
1_DocumentDataGen.py,3,15000,10.819,2,34446,37528.89969,566.78341,1345.47408,31903.3922,3713.25
1_DocumentDataGen.py,3,15000,11.11,3,24449,29327.89667,664.79037,1018.73417,24821.67213,2822.7
1_DocumentDataGen.py,3,15000,14.9,4,18093,21460.41281,403.03955,1019.29006,18303.3832,1734.7
1_DocumentDataGen.py,3,15000,11.3841,5,19169,25114.40302,553.20058,1060.36043,20539.87201,2960.97
1_DocumentDataGen.py,5,25000,18.5698,1,104694,56189.29771,839.08486,968.30219,50687.28828,3694.62238
1_DocumentDataGen.py,5,25000,22.7588,2,50722,51613.28966,819.97075,1507.06216,44733.83675,4552.42
1_DocumentDataGen.py,5,25000,15.2,3,51314,55607.56625,1040.78895,1459.88858,45092.77872,8014.11
1_DocumentDataGen.py,5,25000,16.455,4,35160,55793.07519,930.53806,1555.18938,45989.51775,7317.83
1_DocumentDataGen.py,5,25000,18.139,5,33278,52740.42189,855.00779,1168.95833,43199.75577,7516.7
2_TabularDataGen.py,1,,0.3,1,38,202.9392,122,80.3892,0.55,0
2_TabularDataGen.py,1,,0.3,2,38,200.227,115.53,84.33,0.367,0
2_TabularDataGen.py,1,,0.3,3,53,200.2706,115.1896,84.751,0.33,0
2_TabularDataGen.py,1,,0.4,4,45,202.6867,115.1357,87,0.551,0
2_TabularDataGen.py,1,,0.3,5,42,197.62708,112.938,83.68908,1,0
2_TabularDataGen.py,3,,0.9,1,87,503.8871,271.9,230.9217,1.0654,0
2_TabularDataGen.py,3,,0.8,2,93,546.9,323.4,222.8,0.7,0
2_TabularDataGen.py,3,,0.8,3,84,511.1504,286.416,224.02,0.7144,0
2_TabularDataGen.py,3,,0.8,4,85,489.55265,263.57365,225.392,0.587,0
2_TabularDataGen.py,3,,0.8,5,73,464.0891,229.7,233.5551,0.834,0
2_TabularDataGen.py,5,,1.4,1,133,825.3722,432.81,390.15,2.4122,0
2_TabularDataGen.py,5,,1.3,2,140,825.0244,433.7,389.1644,2.16,0
2_TabularDataGen.py,5,,1.4,3,142,824.72308,431.02108,391.302,2.4,0
2_TabularDataGen.py,5,,1.3,4,150,809.3869,438.3719,368.635,2.38,0
2_TabularDataGen.py,5,,1.4,5,150,804.577,437,365.577,2,0
3_BasicMetadata,1,,,1,4549,7239.544,4545.39,2676.554,17.6,0
3_BasicMetadata,1,,,2,1510,4871.4961,2745.7,2111.3308,14.4653,0
3_BasicMetadata,1,,,3,1499,6940.69787,3397.01387,3530.484,13.2,0
3_BasicMetadata,1,,,4,938,4849.3189,737,4097.9,14.4189,0
3_BasicMetadata,1,,,5,933,4633.09352,534.29507,4088.4555,10.34295,0
3_BasicMetadata,3,,,1,7651,15116.322,8792,5773.63,550.692,0
3_BasicMetadata,3,,,2,4295,14358.3657,8032.2,6169.4,156.7657,0
3_BasicMetadata,3,,,3,2738,13559.357,6659.6,6788.757,111,0
3_BasicMetadata,3,,,4,2357,8830.29,1443.7,7131.9,254.69,0
3_BasicMetadata,3,,,5,2072,7771.723,1242.236,6457.4,72.087,0
3_BasicMetadata,5,,,1,11385,16391.6896,9385.9896,6128.6,877.1,0
3_BasicMetadata,5,,,2,5897,21683.92992,11050,9691.9927,941.93722,0
3_BasicMetadata,5,,,3,5794,22319.0368,10534.3368,10953.5,831.2,0
3_BasicMetadata,5,,,4,5040,21293.78134,9749.397,10720.841,823.54334,0
3_BasicMetadata,5,,,5,3119,21233.05251,9071.3441,11372.8,788.90841,0
4_Documents-Groupings,1,,,1,72,378.79297,201,177.2,0.59297,0
